Country Name,Country Code,Series Name,Series Code,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.5453868,-1.50732,-1.57150029999999,-1.52211379999999,-1.5697208,-1.6125664,-1.5631034,-1.65416719999999,-1.5926582,-1.635471,-1.5860489,-1.5607981,-1.5195275,-1.56501159999999,-1.54351939999999,-1.5398439,-1.5013636,-1.40089,-1.22202489999999,-1.1719937,-1.1987543
Afghanistan,AFG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-2.387388,-2.1912579,-2.133959,-2.1468441,-2.3604939,-2.53508629999999,-2.4492355,-2.53097419999999,-2.5512555,-2.5040196,-2.699732,-2.3186705,-2.48125299999999,-2.4834928,-2.61393089999999,-2.5824048,-2.5893714,-2.5896897,-2.4506389,-2.4492487,-2.3922828
Albania,ALB,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.0079715,-0.7554331,-0.883028399999999,-0.6947376,-0.6751999,-0.6438129,-0.574472099999999,-0.503922299999999,-0.6894267,-0.8226266,-0.815531999999999,-0.6758626,-0.5865235,-0.5061985,-0.5663593,-0.587108899999999,-0.5384935,-0.6594306,-0.60203,-0.500456,-0.464044399999999
Albania,ALB,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.43559,-0.6084853,-0.6100173,-0.549163,-0.188559199999999,-0.0276847,-0.0272379,-0.1725061,-0.348045,-0.3697641,-0.1931708,0.2608816,0.1252711,0.1659701,0.1638298,0.1502032,0.00437499999999999,-0.0049854,0.0239536,0.0115425,0.0246567
Algeria,DZA,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.8163111,-0.8390331,-0.6215313,-0.4436557,-0.479348,-0.5819677,-0.6151584,-0.3918564,-0.4094732,-0.453743099999999,-0.4058013,-0.6220502,-0.6299526,-0.6412808,-0.5404682,-0.538513599999999,-0.620545999999999,-0.635634599999999,-0.6509952,-0.6430769,-0.6397452
Algeria,DZA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.6466235,-1.3060631,-0.8578446,-1.055417,-1.0604958,-0.9964923,-1.18034059999999,-1.31766989999999,-1.43622689999999,-1.2861441,-1.3382043,-1.1769102,-1.049624,-1.12458449999999,-0.929504599999999,-0.6370211,-1.06252749999999,-0.883733299999999,-0.9009933,-0.8074555,-0.7317401
American Samoa,ASM,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,..,0.6637174,0.8590847,0.3992334,0.3933714,0.3949296,0.3948747,0.3958154,0.3934592,0.3885632,0.3889352,1.1646295,1.1685187,1.1716528,1.7934572,1.7972711,1.8025255,1.1797991,1.1772281,1.1763452,1.1733125
American Samoa,ASM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,..,0.4095694,0.7112288,0.715717,0.99494,0.9940271,1.0047762,0.9942908,0.9847551,0.9837485,0.9806728,1.2631079,1.2607488,1.2548748,1.2555945,1.2606571,1.2471192,1.2465402,1.2442687,1.2481785,1.2488142
Andorra,AND,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.332687,0.9284646,1.3271197,1.3353033,1.3294413,1.3309995,1.3309446,1.3318853,1.3295291,1.3246331,1.3250051,1.1646295,1.1685187,1.1716528,1.1694105,1.1732244,1.1784788,1.1797991,1.1772281,1.1763452,1.1733125
Andorra,AND,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.317703,1.0449339,1.3245166,1.3279824,1.3337059,1.333001,1.3413014,1.3332046,1.3258412,1.3250639,1.3226889,1.3308928,1.3290711,1.3245352,1.3250909,1.3290002,1.5488694,1.5484064,1.5465903,1.5497163,1.5502246
Angola,AGO,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.3231498,-1.2228664,-1.2940835,-1.2967958,-1.2804167,-1.2699259,-1.27248349999999,-1.32703029999999,-1.3687643,-1.4394482,-1.46090079999999,-1.48643939999999,-1.4857649,-1.4881942,-1.4208093,-1.18178199999999,-0.9647988,-0.891832299999999,-0.6416506,-0.6031537,-0.6242518
Angola,AGO,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.25069229999999,-1.1591344,-0.9717695,-0.6714135,-0.7470711,-0.4713481,-0.526828899999999,-0.2720682,-0.494662599999999,-0.4414594,-0.6100776,-0.5090269,-0.5591026,-0.434627999999999,-0.537214499999999,-0.4058117,-0.420703899999999,-0.6427634,-0.7936068,-0.5414068,-0.3131654
Anguilla,AIA,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,..,0.7015384,1.3271197,1.3353033,1.3294413,1.3309995,1.3309446,1.3318853,1.3295291,1.3246331,1.3250051,1.1646295,1.1685187,1.1716528,1.1694105,1.1732244,1.1784788,0.5557528,0.5531818,1.1763452,1.1733125
Anguilla,AIA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,..,0.4534985,1.1812157,1.184192,1.1891071,1.1885017,1.1956297,1.5491647,1.5428413,1.5421738,1.5401343,1.2267455,1.2251811,1.221286,1.2217632,1.2251203,1.2261279,1.3857911,1.3836197,1.3873573,1.387965
Antigua and Barbuda,ATG,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,0.8646521,0.6191511,0.6825636,1.0512639,1.0467254,1.0479318,1.0478893,1.3318853,1.3295291,1.3246331,1.3250051,0.5405831,0.6366369,0.6379406,0.1957295,0.2262187,0.2193663,0.2199155,0.181489,0.2369304,0.2686527
Antigua and Barbuda,ATG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.727562,0.9658169,0.7787714,0.7812606,0.7853715,0.7848652,0.7908269,0.9357643,0.9304755,0.9299172,0.9282114,0.93921,0.9161633,0.7403626,0.614623,0.7900001,0.9169085,0.9164728,0.9147636,1.0787211,1.0791994
Argentina,ARG,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.548223799999999,-0.4054833,-0.3890799,-0.320851799999999,-0.4042866,-0.4137763,-0.3970066,-0.3672971,-0.3396354,-0.5168142,-0.517294,-0.6660539,-0.645135999999999,-0.2193628,-0.178141599999999,-0.0057354,-0.0847054,-0.1344697,-0.3273298,-0.3402325,-0.354078399999999
Argentina,ARG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.2505519,-0.328465399999999,0.0832070999999999,0.0814603,0.2041085,0.0112562,-0.1847801,-0.0975562,0.1203533,0.0804879,0.0324742,-0.0132091,-0.0308863,0.1932708,0.2394066,0.1204378,0.0571577,0.0552501,0.0921998,0.0576438,-0.0207671
Armenia,ARM,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.941412999999999,-0.672162399999999,-0.598776299999999,-0.6287834,-0.7056118,-0.759616299999999,-0.735393699999999,-0.671372099999999,-0.677393,-0.6183619,-0.5341199,-0.6390245,-0.6231951,-0.580676299999999,-0.5641041,-0.1642391,-0.0523489,0.1056079,0.0558398,0.0574942,0.1046118
Armenia,ARM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.0578823,-0.2215046,-0.115940599999999,-0.1845154,0.1764597,-0.141342,0.1499282,0.0171223,-0.142543,0.0562514,-0.0281785,-0.2358315,-0.139264399999999,-0.3896011,-0.3015882,-0.00389009999999999,0.0683699,-0.2935835,-0.5019,-0.3556235,-0.5022441
Aruba,ABW,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,..,0.9662856,1.3271197,1.3353033,1.3294413,1.3309995,1.0315021,1.0319006,1.0309026,1.0288289,1.0289865,0.8949794,1.1609441,1.1622716,1.1613218,1.1629372,1.1651628,1.165722,0.8692192,0.8688452,0.8675607
