STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,DATA_SOURCE,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_CONF_LABEL,2006,2008,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,BRA,EIU_DI_INDEX,_Z,_Z,_Z,0_TO_10,_T,_Z,_Z,IX,EIU_DI,602,0,EIU_DI,PU,Annual,Brazil,EIU Democracy Index,Not applicable,Not applicable,Not applicable,0-10 scale,Total,Not Applicable,Not Applicable,Index,Democracy Index,CCYY,Units,Public,7.38,7.38,7.12,7.12,7.12,7.12,7.38,6.96,6.9,6.86,6.97,6.86,6.92,6.86,6.78,6.68,6.49
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,THA,EIU_DI_INDEX,_Z,_Z,_Z,0_TO_10,_T,_Z,_Z,IX,EIU_DI,602,0,EIU_DI,PU,Annual,Thailand,EIU Democracy Index,Not applicable,Not applicable,Not applicable,0-10 scale,Total,Not Applicable,Not Applicable,Index,Democracy Index,CCYY,Units,Public,5.67,6.81,6.55,6.55,6.55,6.25,5.39,5.09,4.92,4.63,4.63,6.32,6.04,6.04,6.67,6.35,6.27
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,TLS,EIU_DI_INDEX,_Z,_Z,_Z,0_TO_10,_T,_Z,_Z,IX,EIU_DI,602,0,EIU_DI,PU,Annual,Timor-Leste,EIU Democracy Index,Not applicable,Not applicable,Not applicable,0-10 scale,Total,Not Applicable,Not Applicable,Index,Democracy Index,CCYY,Units,Public,6.41,7.22,7.22,7.22,7.16,7.24,7.24,7.24,7.24,7.19,7.19,7.19,7.06,7.06,7.06,7.06,7.03
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,SVN,EIU_DI_INDEX,_Z,_Z,_Z,0_TO_10,_T,_Z,_Z,IX,EIU_DI,602,0,EIU_DI,PU,Annual,Slovenia,EIU Democracy Index,Not applicable,Not applicable,Not applicable,0-10 scale,Total,Not Applicable,Not Applicable,Index,Democracy Index,CCYY,Units,Public,7.96,7.96,7.69,7.76,7.88,7.88,7.57,7.57,7.51,7.5,7.5,7.5,7.54,7.54,7.75,7.75,7.82
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,KOR,EIU_DI_INDEX,_Z,_Z,_Z,0_TO_10,_T,_Z,_Z,IX,EIU_DI,602,0,EIU_DI,PU,Annual,"Korea, Rep.",EIU Democracy Index,Not applicable,Not applicable,Not applicable,0-10 scale,Total,Not Applicable,Not Applicable,Index,Democracy Index,CCYY,Units,Public,7.88,8.01,8.11,8.06,8.13,8.06,8.06,7.97,7.92,8.0,8.0,8.0,8.01,8.16,8.03,8.09,7.75
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,LBY,EIU_DI_INDEX,_Z,_Z,_Z,0_TO_10,_T,_Z,_Z,IX,EIU_DI,602,0,EIU_DI,PU,Annual,Libya,EIU Democracy Index,Not applicable,Not applicable,Not applicable,0-10 scale,Total,Not Applicable,Not Applicable,Index,Democracy Index,CCYY,Units,Public,1.84,2.0,1.94,3.55,5.15,4.82,3.8,2.25,2.25,2.32,2.19,2.02,1.95,1.95,2.06,1.78,2.31
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,COD,EIU_DI_INDEX,_Z,_Z,_Z,0_TO_10,_T,_Z,_Z,IX,EIU_DI,602,0,EIU_DI,PU,Annual,"Congo, Dem. Rep.",EIU Democracy Index,Not applicable,Not applicable,Not applicable,0-10 scale,Total,Not Applicable,Not Applicable,Index,Democracy Index,CCYY,Units,Public,2.76,2.28,2.15,2.15,1.92,1.83,1.75,2.11,1.93,1.61,1.49,1.13,1.13,1.4,1.48,1.68,1.92
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,MLT,EIU_DI_INDEX,_Z,_Z,_Z,0_TO_10,_T,_Z,_Z,IX,EIU_DI,602,0,EIU_DI,PU,Annual,Malta,EIU Democracy Index,Not applicable,Not applicable,Not applicable,0-10 scale,Total,Not Applicable,Not Applicable,Index,Democracy Index,CCYY,Units,Public,8.39,8.39,8.28,8.28,8.28,8.28,8.39,8.39,8.39,8.15,8.21,7.95,7.68,7.57,7.7,7.93,7.93
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,CZE,EIU_DI_INDEX,_Z,_Z,_Z,0_TO_10,_T,_Z,_Z,IX,EIU_DI,602,0,EIU_DI,PU,Annual,Czechia,EIU Democracy Index,Not applicable,Not applicable,Not applicable,0-10 scale,Total,Not Applicable,Not Applicable,Index,Democracy Index,CCYY,Units,Public,8.17,8.19,8.19,8.19,8.19,8.06,7.94,7.94,7.82,7.62,7.69,7.69,7.67,7.74,7.97,7.97,8.08
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,MRT,EIU_DI_INDEX,_Z,_Z,_Z,0_TO_10,_T,_Z,_Z,IX,EIU_DI,602,0,EIU_DI,PU,Annual,Mauritania,EIU Democracy Index,Not applicable,Not applicable,Not applicable,0-10 scale,Total,Not Applicable,Not Applicable,Index,Democracy Index,CCYY,Units,Public,3.12,3.91,3.86,4.17,4.17,4.17,4.17,3.96,3.96,3.82,3.82,3.92,3.92,4.03,4.03,4.14,3.96
